1,-100.0000,-100.0000,50.0000,0
1,0.0000,-100.0000,50.0000,0
1,100.0000,-100.0000,50.0000,0
1,-100.0000,100.0000,50.0000,0
1,0.0000,100.0000,50.0000,0
1,100.0000,100.0000,50.0000,0
1,0.0000,250.0000,50.0000,1
2,-100.0000,-100.0000,150.0000,0
2,0.0000,-100.0000,150.0000,0
2,100.0000,-100.0000,150.0000,0
2,-100.0000,100.0000,150.0000,0
2,0.0000,100.0000,150.0000,0
2,100.0000,100.0000,150.0000,0
2,0.0000,250.0000,150.0000,1
3,-100.0000,-100.0000,250.0000,0
3,0.0000,-100.0000,250.0000,0
3,100.0000,-100.0000,250.0000,0
3,-100.0000,100.0000,250.0000,0
3,0.0000,100.0000,250.0000,0
3,100.0000,100.0000,250.0000,0
3,0.0000,250.0000,250.0000,1
4,-100.0000,-100.0000,350.1000,0
4,0.0000,-100.0000,350.1000,0
4,100.0000,-100.0000,350.1000,0
4,-100.0000,100.0000,350.1000,0
4,0.0000,100.0000,350.1000,0
4,100.0000,100.0000,350.1000,0
4,0.0000,250.0000,350.1000,1
5,-100.0000,-100.0000,450.1000,0
5,0.0000,-100.0000,450.1000,0
5,100.0000,-100.0000,450.1000,0
5,-100.0000,100.0000,450.1000,0
5,0.0000,100.0000,450.1000,0
5,100.0000,100.0000,450.1000,0
5,0.0000,250.0000,450.1000,1

[Ship Case],"Test Ship","SPEC123",100.0000,200.0000,100.0000
[Pallet],"Test Pallet",400.0000,600.0000,50.0000
